s9;MembersCount2022;NumDirectIndiv2022;CompaniesCount_Provision_key_services2022;CompaniesCount_Resilient_occupations2022;CompaniesTotal2002;RegionsCount_Provision_key_services2022;RegionsCount_Protection_from_harm2022;RegionsTotal2022;CitiesCount_Provision_key_services2022;CitiesCount_Protection_from_harm2022;CitiesTotal2022;NatSysHectaTotal2022
Adaptation Research Alliance (ARA);157;0;0;0;0;0;0;0;0;0;0;0
Cities Race to Resilience (CitiesR2R);51;0;0;0;0;0;0;0;51;51;102;0
Coalition for Climate Resilient Investment (CCRI);125;0;0;0;0;2;0;2;2;0;2;0
Culture Race to Resilience;0;200000000;0;0;0;0;0;0;0;0;0;0
DARAJA (Resurgence) (DARAJA);38;500000000;0;0;0;0;0;0;0;0;0;0
Efficiency for Access Coalition (EforA);76;27000000;0;0;0;0;0;0;0;0;0;0
Global EverGreening Alliance (GEGA);66;85550224;0;0;0;0;0;0;0;0;0;22780000
InsuResilience Global Partnership (IRGP);121;500000000;0;0;0;0;0;0;0;0;0;0
International Coalition of Sustainable Infrastructure (ICSI);3;567000000;10;0;10;0;0;0;210;210;420;0
Ocean Risk and Resilience Action Alliance (ORRAA);61;250000000;0;0;0;0;0;0;0;0;0;0
Resilience First (RF);7;0;180;0;180;0;0;0;0;0;0;0
Risk-informed Early Action Partnership (REAP);71;1000000000;0;0;0;0;0;0;0;0;0;0
Scale for Resilience Nature-based solutions (S4R);80;3000000;100;0;100;0;0;0;0;0;0;0
The Climakers (Climakers);16;1000000;0;0;0;6;0;6;0;0;0;0
Urban Sustainability Directors Network (USDN);120;1000;0;0;0;0;0;0;110;110;220;0
Walk2COP27;0;3000;0;0;0;0;0;0;0;0;0;0
Water Resilience Coalition (WRC);30;300000000;150;0;150;0;0;0;0;0;0;0
RegionsAdapt (RegionsAdapt);70;0;0;0;0;70;70;140;0;0;0;0
Initiative 20x20 (I20x20);143;150000000;250;0;250;0;0;0;0;0;0;50000000
Adaptation and Resilience Innovation Clusters (ARIC);0;0;0;0;0;0;0;0;0;0;0;0
Climate Knowledge and Innovation Community (Climate-KIC) - Resilient Regions (KIC-FRR);14;0;0;0;0;100;100;200;0;0;0;0
Extreme Heat Resilience Alliance (EHRA);42;500000000;0;0;0;0;0;0;0;53;53;0
Resilience knowledge coalition (RKC);526;0;0;0;0;0;0;0;0;0;0;0
Just Rural Transition;114;0;0;0;0;0;0;0;0;0;0;0
Climate Resilient Housing (CRH);124;10000000;0;0;0;0;0;0;0;0;0;0
Global Mangrove Alliance (GMA);30;10000000;0;0;0;5;5;10;0;0;0;7000000
